episode: 645, score: 0.0, epsilon: 0.07
episode: 650, score: 200.0, epsilon: 0.07
episode: 655, score: 0.0, epsilon: 0.07
episode: 660, score: 0.0, epsilon: 0.07
episode: 665, score: 250.0, epsilon: 0.07
episode: 670, score: 500.0, epsilon: 0.07
episode: 675, score: 0.0, epsilon: 0.07
episode: 680, score: 0.0, epsilon: 0.07
episode: 685, score: 0.0, epsilon: 0.07
episode: 690, score: 450.0, epsilon: 0.07
episode: 695, score: 250.0, epsilon: 0.07
marking, episode: 700, score: 250.0, mean_score: 168.50, std_score: 206.36
episode: 700, score: 250.0, epsilon: 0.07
episode: 705, score: 0.0, epsilon: 0.06
episode: 710, score: 250.0, epsilon: 0.06
episode: 715, score: 0.0, epsilon: 0.06
episode: 720, score: 0.0, epsilon: 0.06
episode: 725, score: 100.0, epsilon: 0.06
episode: 730, score: 100.0, epsilon: 0.06
episode: 735, score: 0.0, epsilon: 0.06
episode: 740, score: 0.0, epsilon: 0.06
episode: 745, score: 250.0, epsilon: 0.06
episode: 750, score: 200.0, epsilon: 0.06
episode: 755, score: 0.0, epsilon: 0.06
episode: 760, score: 0.0, epsilon: 0.06
episode: 765, score: 0.0, epsilon: 0.06
episode: 770, score: 0.0, epsilon: 0.06
episode: 775, score: 350.0, epsilon: 0.06
episode: 780, score: 0.0, epsilon: 0.06
episode: 785, score: 0.0, epsilon: 0.06
episode: 790, score: 100.0, epsilon: 0.06
episode: 795, score: 0.0, epsilon: 0.06
marking, episode: 800, score: 0.0, mean_score: 128.50, std_score: 177.38
episode: 800, score: 0.0, epsilon: 0.06
episode: 805, score: 0.0, epsilon: 0.06
episode: 810, score: 0.0, epsilon: 0.06
episode: 815, score: 950.0, epsilon: 0.06
episode: 820, score: 250.0, epsilon: 0.06
episode: 825, score: 0.0, epsilon: 0.06
episode: 830, score: 0.0, epsilon: 0.06
episode: 835, score: 0.0, epsilon: 0.06
episode: 840, score: 250.0, epsilon: 0.06
episode: 845, score: 100.0, epsilon: 0.06
episode: 850, score: 100.0, epsilon: 0.06
episode: 855, score: 350.0, epsilon: 0.06
episode: 860, score: 0.0, epsilon: 0.06
episode: 865, score: 0.0, epsilon: 0.06
episode: 870, score: 250.0, epsilon: 0.06
episode: 875, score: 100.0, epsilon: 0.06
episode: 880, score: 250.0, epsilon: 0.06
episode: 885, score: 250.0, epsilon: 0.06
episode: 890, score: 0.0, epsilon: 0.06
episode: 895, score: 600.0, epsilon: 0.06
marking, episode: 900, score: 600.0, mean_score: 126.50, std_score: 195.38
episode: 900, score: 600.0, epsilon: 0.06
episode: 905, score: 0.0, epsilon: 0.05
episode: 910, score: 250.0, epsilon: 0.05
episode: 915, score: 550.0, epsilon: 0.05
episode: 920, score: 100.0, epsilon: 0.05
episode: 925, score: 250.0, epsilon: 0.05
episode: 930, score: 0.0, epsilon: 0.05
episode: 935, score: 0.0, epsilon: 0.05
episode: 940, score: 0.0, epsilon: 0.05
episode: 945, score: 500.0, epsilon: 0.05
episode: 950, score: 600.0, epsilon: 0.05
episode: 955, score: 100.0, epsilon: 0.05
episode: 960, score: 250.0, epsilon: 0.05
episode: 965, score: 250.0, epsilon: 0.05
episode: 970, score: 250.0, epsilon: 0.05
episode: 975, score: 500.0, epsilon: 0.05
episode: 980, score: 250.0, epsilon: 0.05
episode: 985, score: 0.0, epsilon: 0.05
episode: 990, score: 250.0, epsilon: 0.05
episode: 995, score: 250.0, epsilon: 0.05
marking, episode: 1000, score: 750.0, mean_score: 136.00, std_score: 182.90
episode: 1000, score: 750.0, epsilon: 0.05
episode: 1005, score: 0.0, epsilon: 0.05
episode: 1010, score: 100.0, epsilon: 0.05
episode: 1015, score: 0.0, epsilon: 0.05
episode: 1020, score: 100.0, epsilon: 0.05
episode: 1025, score: 0.0, epsilon: 0.05
episode: 1030, score: 250.0, epsilon: 0.05
episode: 1035, score: 250.0, epsilon: 0.05
episode: 1040, score: 0.0, epsilon: 0.05
episode: 1045, score: 250.0, epsilon: 0.05
episode: 1050, score: 350.0, epsilon: 0.05
episode: 1055, score: 0.0, epsilon: 0.05
episode: 1060, score: 250.0, epsilon: 0.05
episode: 1065, score: 0.0, epsilon: 0.05
episode: 1070, score: 100.0, epsilon: 0.05
episode: 1075, score: 100.0, epsilon: 0.05
episode: 1080, score: 0.0, epsilon: 0.05
episode: 1085, score: 200.0, epsilon: 0.05
episode: 1090, score: 0.0, epsilon: 0.05
episode: 1095, score: 0.0, epsilon: 0.05
